Gene	Num.sgRNA	Library.ES	Initial.ES	Final.ES	EnrichmentRatio	pval	qval
ABCB7	6	1439.166667	2779.833333	1231.833333	-1.174191	0.0819165537204467	0.0099525520545421
ABCB8	6	2479.555556	1377.944444	1807.666667	0.391611	0.6143916019751553	0.0379007739082366
ABCB9	6	424.277778	2212.277778	2848.111111	0.364473	0.3808195939977728	0.0288119587248940
ABCC1	6	2662.666667	2061.444444	1838.333333	-0.165257	0.7140225290735225	0.0412175234936429
ABCC10	6	3414.611111	1272.722222	3342.055556	1.392818	0.0621388280344228	0.0080799705177815
ABCC11	6	2078.944444	3334.888889	3398.833333	0.027401	0.6871562444690340	0.0403791229039985
ABCC12	6	2644.277778	2377.166667	1840.055556	-0.369494	0.5284524792114028	0.0348396904367054
ABCC2	6	1468.666667	2370.222222	2812.000000	0.246574	0.4885712864802203	0.0332849640685462
ABCC3	6	2073.666667	925.166667	2431.222222	1.393897	0.0168901664456360	0.0031578220011056
ABCC4	6	2285.111111	1698.388889	992.611111	-0.774866	0.3331019400311685	0.0264211350654137
ABCC5	6	983.444444	2239.944444	2072.000000	-0.112439	0.8999866828054518	0.0470057121798415
ABCC6	6	3007.888889	1615.000000	1714.333333	0.086113	0.8328220113686272	0.0449419568822554
ABCC8	6	1044.222222	2436.000000	2697.222222	0.146960	0.6034331446994018	0.0375046065966464
ABCC9	6	3309.611111	606.277778	1252.000000	1.046184	0.3279438276231663	0.0261608623548922
ABCD1	6	1305.222222	3235.222222	2737.777778	-0.240859	0.4184081084866803	0.0303989312695780
ABCD2	6	215.222222	2973.388889	2415.277778	-0.299919	0.5612878831629011	0.0360258890731528
ABCD3	6	2760.833333	702.611111	348.722222	-1.010648	0.0657838448541046	0.0084162520729685
ABCD4	6	452.500000	1002.333333	739.222222	-0.439282	0.5957895438873191	0.0372120877096002
ABCE1	6	2866.944444	2481.166667	1503.944444	-0.722267	0.2353892825977935	0.0212133775566611
ABCF1	6	2000.166667	2507.222222	1176.555556	-1.091520	0.2018153583985822	0.0190574903261470
ABCF2	6	2823.388889	927.055556	656.555556	-0.497739	0.4330150539094925	0.0310254284134881
ABCF3	6	3573.666667	1097.611111	2499.444444	1.187240	0.1513826083926009	0.0153261470425650
ABCG1	6	1645.000000	1065.944444	1768.388889	0.730303	0.2700057899446892	0.0230974755850378
ABCG2	6	471.222222	3306.722222	1309.500000	-1.336386	0.0075443988116762	0.0017620232172471
ABCG4	6	3020.111111	1167.666667	1099.222222	-0.087145	0.9380969602997518	0.0480836557950986
ABCG5	6	2126.388889	3327.166667	1832.222222	-0.860700	0.1872919313614093	0.0180509489589092
ABCG8	6	312.722222	2860.611111	760.111111	-1.912041	0.0213483934373212	0.0036760641238253
ABHD1	6	1589.722222	1707.055556	978.333333	-0.803112	0.4206050602934795	0.0305002763957988
ABHD10	6	764.333333	2273.555556	2036.444444	-0.158898	0.8245570308932475	0.0446747742767643
ABHD11	6	2034.333333	2954.777778	3381.111111	0.194448	0.2079364375276319	0.0195043302008476
ABHD12	6	2190.777778	1440.944444	1049.888889	-0.456778	0.4908364957637859	0.0333886124930901
ABHD12B	6	1368.055556	2979.555556	2292.500000	-0.378175	0.2638630829418074	0.0227773171181131
ABHD13	6	1164.111111	1296.111111	1588.666667	0.293627	0.8006480649803251	0.0439192924267551
ABHD14A	6	2740.000000	1140.277778	835.166667	-0.449249	0.7347055059762388	0.0418693569191082
ABHD14B	6	436.833333	3582.000000	422.333333	-3.084311	0.0070186287659016	0.0016698912843191
ABHD15	6	326.555556	3027.611111	2414.277778	-0.326588	0.3599832269874363	0.0278054173576562
ABHD16A	6	260.000000	1609.833333	2137.611111	0.409088	0.6708205477770331	0.0398401510963700
ABHD16B	6	3174.388889	1156.388889	999.555556	-0.210268	0.8120708697080709	0.0442901234567901
ABHD17A	6	1848.611111	2528.888889	3084.555556	0.286559	0.0923990548926849	0.0108162889257417
ABHD17B	6	2879.333333	930.166667	574.666667	-0.694764	0.3863433782303450	0.0290261654689515
ABHD17C	6	326.666667	2153.666667	1821.444444	-0.241712	0.7692129542345354	0.0429657269209508
ABHD2	6	2386.555556	1511.166667	1310.666667	-0.205362	0.8119669306941002	0.0442878201584669
ABHD3	6	2243.333333	3128.055556	2179.277778	-0.521416	0.2148373453903575	0.0199143173023770
ABHD4	6	3302.277778	467.166667	1828.333333	1.968520	0.1007170511179053	0.0115717707757509
ABHD5	6	581.222222	2870.555556	875.611111	-1.712968	0.0088812361225019	0.0019969596462134
ABHD6	6	35.333333	2282.277778	1832.388889	-0.316749	0.5286677102961976	0.0348466003316750
ABHD8	6	2265.944444	3079.111111	2269.000000	-0.440457	0.3257381643000304	0.0260456974387323
ABI1	6	246.277778	1305.722222	934.444444	-0.482667	0.3392819260192911	0.0267435968306615
ABI2	6	768.944444	2063.055556	2549.777778	0.305589	0.5088054070640596	0.0340957250783121
ABI3	6	1635.333333	1701.166667	2289.722222	0.428648	0.4543911985614596	0.0319421411461212
ABI3BP	6	1624.333333	2312.666667	1184.333333	-0.965482	0.0523674903312518	0.0071171918186844
ABL1	6	1388.500000	2354.000000	2752.888889	0.225832	0.5888306783010366	0.0369794545789571
ABL2	6	202.277778	3321.500000	1780.000000	-0.899958	0.2262459683406221	0.0206306430808918
ABLIM1	6	1032.777778	943.944444	2281.333333	1.273103	0.2133174624895980	0.0198360051593882
ABLIM2	6	2457.388889	1084.666667	977.111111	-0.150657	0.9136011377911245	0.0473880597014925
ABLIM3	6	1630.722222	2437.888889	1977.388889	-0.302036	0.5942086729799536	0.0371614151464898
ABO	6	380.555556	2158.444444	461.277778	-2.226284	0.0008509647991248	0.0003639211350654
ABP1	6	1097.166667	2382.111111	2760.722222	0.212805	0.5232623506275558	0.0346462133775567
ABR	6	954.555556	1563.555556	1493.444444	-0.066187	0.9547269064367796	0.0485512253547079
ABRA	6	2625.500000	835.888889	1805.666667	1.111149	0.3890992393637964	0.0291482402800811
ABRACL	6	484.388889	2097.944444	2057.555556	-0.028045	0.9377252865783944	0.0480675327068362
ABT1	6	3397.222222	1543.277778	2347.888889	0.605366	0.3552809101950173	0.0275681776303667
ABTB1	6	279.666667	635.777778	472.666667	-0.427699	0.6587970889366099	0.0394278606965174
ABTB2	6	1671.611111	1887.722222	2891.388889	0.615116	0.1033015293130372	0.0117445181499908
ACAA1	6	3252.111111	930.666667	1362.333333	0.549743	0.2973027613735776	0.0246222590749954
